date_time,open_price,high_price,low_price,close_price,quantity
2023/08/17 03:09, 16340.00, 16341.00, 16337.00, 16340.00, 79
2023/08/17 03:10, 16340.00, 16340.00, 16337.00, 16339.00, 37
2023/08/17 03:11, 16339.00, 16341.00, 16338.00, 16338.00, 48
2023/08/17 03:12, 16337.00, 16337.00, 16326.00, 16328.00, 365
2023/08/17 03:13, 16328.00, 16330.00, 16322.00, 16330.00, 251
2023/08/17 03:14, 16331.00, 16331.00, 16324.00, 16325.00, 74
2023/08/17 03:15, 16324.00, 16328.00, 16322.00, 16328.00, 113
2023/08/17 03:16, 16327.00, 16329.00, 16324.00, 16324.00, 134
2023/08/17 03:17, 16325.00, 16326.00, 16322.00, 16324.00, 72
2023/08/17 03:18, 16324.00, 16326.00, 16324.00, 16324.00, 38
2023/08/17 03:19, 16324.00, 16324.00, 16311.00, 16316.00, 687
2023/08/17 03:20, 16314.00, 16323.00, 16314.00, 16323.00, 115
2023/08/17 03:21, 16322.00, 16330.00, 16320.00, 16328.00, 146
2023/08/17 03:22, 16328.00, 16328.00, 16318.00, 16320.00, 102
2023/08/17 03:23, 16320.00, 16326.00, 16319.00, 16321.00, 83
2023/08/17 03:24, 16321.00, 16323.00, 16318.00, 16318.00, 54
2023/08/17 03:25, 16318.00, 16319.00, 16314.00, 16316.00, 84
2023/08/17 03:26, 16317.00, 16320.00, 16316.00, 16319.00, 32
2023/08/17 03:27, 16319.00, 16324.00, 16318.00, 16324.00, 53
2023/08/17 03:28, 16324.00, 16325.00, 16322.00, 16323.00, 28
2023/08/17 03:29, 16322.00, 16324.00, 16321.00, 16321.00, 34
2023/08/17 03:30, 16321.00, 16324.00, 16321.00, 16323.00, 24
2023/08/17 03:31, 16323.00, 16323.00, 16318.00, 16318.00, 123
2023/08/17 03:32, 16318.00, 16325.00, 16317.00, 16322.00, 92
2023/08/17 03:33, 16323.00, 16329.00, 16322.00, 16327.00, 77
2023/08/17 03:34, 16328.00, 16330.00, 16327.00, 16329.00, 38
